2023-01-03T01:39:11.794+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1543 port=27017 dbpath=/data/db 64-bit host=seinfeld-app-1
2023-01-03T01:39:11.795+0000 I CONTROL  [initandlisten] db version v3.6.3
2023-01-03T01:39:11.795+0000 I CONTROL  [initandlisten] git version: 9586e557d54ef70f9ca4b43c26892cd55257e1a5
2023-01-03T01:39:11.796+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.1.1  11 Sep 2018
2023-01-03T01:39:11.798+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2023-01-03T01:39:11.800+0000 I CONTROL  [initandlisten] modules: none
2023-01-03T01:39:11.800+0000 I CONTROL  [initandlisten] build environment:
2023-01-03T01:39:11.801+0000 I CONTROL  [initandlisten]     distarch: x86_64
2023-01-03T01:39:11.801+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2023-01-03T01:39:11.803+0000 I CONTROL  [initandlisten] options: {}
2023-01-03T01:39:11.806+0000 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
2023-01-03T01:39:11.807+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2023-01-03T01:39:11.807+0000 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2023-01-03T01:39:11.808+0000 I STORAGE  [initandlisten] 
2023-01-03T01:39:11.808+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2023-01-03T01:39:11.808+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2023-01-03T01:39:11.808+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3476M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
